vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
VTS,2009-11-23 16:19:00,2009-11-23 16:23:00,1,0.76,-73.975327,40.751015,,,-73.983357,40.745057,CASH,4.5,1.0,0.5,0,0,6.0
VTS,2009-11-05 16:48:00,2009-11-05 16:56:00,5,1.6,-73.99266,40.75363,,,-74.002908,40.728558,CASH,6.5,1.0,0.5,0,0,8.0
VTS,2009-11-17 08:24:00,2009-11-17 08:31:00,1,1.28,-74.007537,40.733597,,,-73.993205,40.742265,CASH,6.1,0.0,0.5,0,0,6.6
VTS,2009-11-01 14:34:00,2009-11-01 14:39:00,1,1.14,-73.985598,40.74566,,,-73.988213,40.762142,CASH,5.3,0.0,,0,0,5.8
VTS,2009-11-17 13:49:00,2009-11-17 13:57:00,1,0.79,-73.978117,40.760763,,,-73.983258,40.756568,CASH,6.1,0.0,0.5,0,0,6.6
VTS,2009-11-17 09:25:00,2009-11-17 09:32:00,2,1.53,-73.985087,40.741617,,,-73.972748,40.759833,Credit,6.5,0.0,0.5,1,0,8.0
VTS,2009-11-22 05:13:00,2009-11-22 05:22:00,1,3.69,-73.987593,40.748202,,,-73.967497,40.787708,CASH,10.1,0.5,0.5,0,0,11.1
VTS,2009-11-01 15:15:00,2009-11-01 15:28:00,1,2.63,-73.98797,40.769763,,,-73.981982,40.743415,Credit,9.7,0.0,,1,0,11.2
VTS,2009-11-01 10:18:00,2009-11-01 10:26:00,5,1.54,-73.982698,40.771743,,,-74.000977,40.76181,CASH,6.5,0.0,,0,0,7.0
VTS,2009-11-01 12:25:00,2009-11-01 12:54:00,2,9.48,-73.96164,40.75524,,,-73.861698,40.768375,CASH,26.5,0.0,,0,0,27.0
VTS,2009-11-17 09:47:00,2009-11-17 09:58:00,1,2.05,-74.00508,40.723133,,,-73.985455,40.747112,Credit,8.1,0.0,0.5,3,0,11.6
VTS,2009-11-18 00:29:00,2009-11-18 00:39:00,5,2.44,-73.990628,40.736482,,,-74.012203,40.716135,CASH,8.9,0.5,0.5,0,0,9.9
